id,title,url,score,author,time,comments_count
41069829,AI solves IMO problems at silver medal level,https://deepmind.google/discover/blog/ai-solves-imo-problems-at-silver-medal-level/,125,ocfnash,2024-07-25 18:29:41,18
41069256,Reverse Engineering for Everyone,https://0xinfection.github.io/reversing/,83,udev4096,2024-07-25 17:41:26,2
41069403,The CAP theorem Is Irrelevant for Cloud Systems,https://brooker.co.za/blog/2024/07/25/cap-again.html,56,nalgeon,2024-07-25 17:52:38,24
41069681,Show HN: Tiny Moon – Swift library to calculate the moon phase,https://github.com/mannylopez/TinyMoon,15,mannylopez,2024-07-25 18:17:01,1
41064351,Node.js adds experimental support for TypeScript,https://github.com/nodejs/node/pull/53725,818,magnio,2024-07-25 05:57:37,38
41069909,Launch HN: Undermind (YC S24) – AI agent for discovering scientific papers,,10,jramette,2024-07-25 18:36:57,2
41068995,Memory Mapping an FPGA from an STM32,https://serd.es/2024/07/24/Memory-mapping-an-FPGA-from-a-STM32.html,24,hasheddan,2024-07-25 17:21:36,1
41066536,My Favorite Algorithm: Linear Time Median Finding (2018),https://rcoh.me/posts/linear-time-median-finding/,138,skanderbm,2024-07-25 12:16:53,27
41064645,Investigating corrupt Winamp skins,https://jordaneldredge.com/notes/corrupted-skins/,370,treve,2024-07-25 07:14:57,20
41069527,Mapping Hacker News to find who knows what in the HN community,https://blog.wilsonl.in/hackerverse-2/#,33,robg,2024-07-25 18:04:24,7
